speaker file snr pesq_noisy pesq_enhanced
0 m1_3_t-c1151_n16_snr_10 10 2.319000 2.727000
0 m1_3_t-c1151_n16_snr_15 15 2.623000 2.974000
0 m1_3_t-c1151_n16_snr_5 5 2.150000 2.347000
0 m1_3_t-c1151_n17_snr_0 0 1.794000 1.964000
0 m1_3_t-c1151_n17_snr_10 10 2.100000 2.592000
0 m1_3_t-c1151_n17_snr_15 15 2.432000 2.844000
0 m1_3_t-c1151_n17_snr_5 5 1.890000 2.279000
0 m1_3_t-c1151_n28_snr_0 0 2.269000 2.516000
0 m1_3_t-c1151_n28_snr_10 10 2.575000 3.009000
0 m1_3_t-c1151_n28_snr_15 15 2.848000 3.162000
0 m1_3_t-c1151_n28_snr_5 5 2.382000 2.764000
0 m1_3_t-c1151_n29_snr_0 0 1.952000 2.232000
0 m1_3_t-c1151_n29_snr_10 10 2.513000 2.842000
0 m1_3_t-c1151_n29_snr_15 15 2.802000 3.040000
0 m1_3_t-c1151_n29_snr_5 5 2.223000 2.576000
0 m1_3_t-c1151_n68_snr_0 0 1.666000 2.191000
0 m1_3_t-c1151_n68_snr_10 10 2.250000 2.772000
0 m1_3_t-c1151_n68_snr_15 15 2.584000 3.017000
0 m1_3_t-c1151_n68_snr_5 5 1.930000 2.493000
0 m1_3_t-c1151_n69_snr_0 0 1.601000 1.973000
0 m1_3_t-c1151_n69_snr_10 10 2.170000 2.557000
0 m1_3_t-c1151_n69_snr_15 15 2.512000 2.859000
0 m1_3_t-c1151_n69_snr_5 5 1.852000 2.262000
0 m1_3_t-c1151_n77_snr_0 0 2.233000 2.360000
0 m1_3_t-c1151_n77_snr_10 10 2.580000 2.952000
0 m1_3_t-c1151_n77_snr_15 15 2.851000 3.252000
0 m1_3_t-c1151_n77_snr_5 5 2.339000 2.539000
0 m1_3_t-c1151_n78_snr_0 0 1.778000 2.452000
0 m1_3_t-c1151_n78_snr_10 10 2.703000 3.104000
0 m1_3_t-c1151_n78_snr_15 15 2.949000 3.299000
0 m1_3_t-c1151_n78_snr_5 5 2.509000 2.741000
0 m1_3_t-c1151_STATION_ch01_snr_0 0 2.072000 2.500000
0 m1_3_t-c1151_STATION_ch01_snr_10 10 2.737000 3.134000
0 m1_3_t-c1151_STATION_ch01_snr_15 15 3.022000 3.327000
0 m1_3_t-c1151_STATION_ch01_snr_5 5 2.421000 2.849000
0 m1_3_t-c1151_STO_16k_ch01_snr_0 0 1.902000 2.178000
0 m1_3_t-c1151_STO_16k_ch01_snr_10 10 2.465000 2.828000
0 m1_3_t-c1151_STO_16k_ch01_snr_15 15 2.758000 3.104000
0 m1_3_t-c1151_STO_16k_ch01_snr_5 5 2.160000 2.530000
0 m1_3_t-c1151_TER_16k_ch01_snr_0 0 2.310000 2.643000
0 m1_3_t-c1151_TER_16k_ch01_snr_10 10 2.858000 3.177000
0 m1_3_t-c1151_TER_16k_ch01_snr_15 15 3.120000 3.309000
